Customer_Firstname,Customer_Lastname,Cust_Name,Gender_Code,Customer _Name,Address1,City,State,Country_Code,Postal_Code,Postal_Code_Plus4,Address2,Email_Address,Phone_Number,Creditcard_Type,Locality,Salesman_Id,Nationality,National_Id,Creditcard_Number,Driver_License,Cust_Id,Order_Id,Order_Date,Order_Time,Freight_Charges,Order_Salesman,Order_Posted_Date,Order_Ship_Date,Age,Order_Value,T_Type,Purchase_Touchpoint,Purchase_Status,Order_Type,Generation,Baby Food,Diapers,Formula,Lotion,Baby Wash,Wipes,Fresh Fruits,Fresh Vegetables,Beer,Wine,Club Soda,Sports Drink,Chips,Popcorn,Oatmeal,Medicines,Canned Foods,Cigarettes,Cheese,Cleaning Products,Condiments,Frozen Foods,Kitchen Items,Meat,Office Supplies,Personal Care,Pet Supplies,Sea Food,Spices,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.18E+15,,10003,1106,00:00.0,29:06.2,29.79,NC298 ,00:00.0,"Wednesday, July 27, 2016",27,134.24,complete,Phone,Frequent,MediumValue,GEN_Y,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.15E+15,,10003,2948,00:00.0,13:54.6,17.87,SW277 ,00:00.0,"Sunday, March 27, 2016",27,53.4,abandoned,Phone,Frequent,MediumValue,GEN_Y,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17E+15,,10003,3323,00:00.0,39:06.2,31.88,NC160 ,00:00.0,"Tuesday, September 27, 2016",27,26.25,complete,Desktop,Frequent,LowValue,GEN_Y,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.16E+15,,10003,7498,00:00.0,19:56.1,18.45,SW409 ,00:00.0,"Tuesday, March 1, 2016",27,5.65,complete,Phone,Frequent,LowValue,GEN_Y,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.14E+15,,10003,7973,00:00.0,07:36.4,23.12,WE352 ,00:00.0,"Monday, January 4, 2016",27,44.43,complete,Phone,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen ,Perl          ,Allen Perl          ,Mr.,Mr. Allen Perl,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.12E+15,,10003,9107,00:00.0,07:36.4,22.77,NW379 ,00:00.0,"Sunday, January 3, 2016",27,24.18,complete,Phone,Frequent,LowValue,GEN_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthony ,Whitney     ,Anthony Whitney     ,Mr.,Mr. Anthony Whitney,518 Highland    View      Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,,WE349 ,IT,NXFXLA90D69D741G,4.47E+15,,10007,7441,00:00.0,39:06.2,11.05,SC130 ,00:00.0,"Saturday, February 27, 2016",NA,65.8,complete,Desktop,FirstTime,HighValue,GEN_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,,,,,,,,,,
Thomas ,Owens        ,Thomas Owens        ,Mr.,Mr. Thomas Owens,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.66E+15,,10015,627,47:25.0,47:25.4,6.37,NC163 ,47:25.0,"Sunday, May 8, 2016",60,40.34,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Thomas ,Owens        ,Thomas Owens        ,Mr.,Mr. Thomas Owens,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.02E+15,,10015,1209,00:00.0,43:54.6,23.37,SW340 ,00:00.0,"Saturday, February 27, 2016",60,18.81,cancelled,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Thomas ,Owens        ,Thomas Owens        ,Mr.,Mr. Thomas Owens,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.56E+15,,10015,1556,00:00.0,36:44.9,19.81,NW310 ,00:00.0,"Wednesday, October 5, 2016",60,34.04,complete,Phone,Occasional,LowValue,BABY_BOOMERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,
